PNR,age,is_regular,days_before_flight,no_show_prob,no_show
PNR10000042,29,1,47,0.08916666666666667,0
PNR10000043,48,1,4,0.04333333333333333,0
PNR10000044,65,0,41,0.2841666666666667,1
PNR10000045,23,0,3,0.2025,0
PNR10000046,47,0,20,0.12666666666666668,1
PNR10000047,45,0,10,0.11833333333333333,0
PNR10000048,44,0,31,0.13583333333333333,0
PNR10000049,19,0,4,0.20333333333333334,0
PNR10000050,22,0,26,0.22166666666666668,1
PNR10000051,31,0,25,0.14083333333333334,0
PNR10000052,61,0,15,0.2625,1
PNR10000053,33,1,19,0.06583333333333333,0
PNR10000054,27,1,4,0.05333333333333334,0
PNR10000055,27,1,49,0.09083333333333332,0
PNR10000056,71,1,27,0.20249999999999999,1
PNR10000057,53,1,3,0.042499999999999996,0
PNR10000058,60,0,74,0.31166666666666665,0
PNR10000059,66,0,29,0.27416666666666667,0
PNR10000060,73,1,5,0.18416666666666667,0
PNR10000061,27,0,7,0.12583333333333335,0
PNR10000062,30,0,6,0.125,0
PNR10000063,72,0,7,0.25583333333333336,0
PNR10000064,22,1,7,0.13583333333333333,0
PNR10000065,28,0,41,0.15416666666666667,0
PNR10000066,20,0,26,0.22166666666666668,0
PNR10000067,62,1,7,0.18583333333333332,0
PNR10000068,49,1,80,0.10666666666666666,0
PNR10000069,35,0,1,0.12083333333333335,0
PNR10000070,61,0,34,0.2783333333333333,0
PNR10000071,42,1,23,0.05916666666666666,0
PNR10000072,26,0,22,0.13833333333333334,1
PNR10000073,46,0,24,0.13,0
PNR10000074,20,0,20,0.21666666666666667,1
PNR10000075,61,0,87,0.3225,1
PNR10000076,21,0,28,0.22333333333333336,0
PNR10000077,61,1,18,0.195,0
PNR10000078,50,0,58,0.15833333333333333,0
PNR10000079,33,0,66,0.175,0
PNR10000080,32,0,44,0.15666666666666668,0
PNR10000081,46,1,25,0.06083333333333332,0
PNR10000082,24,0,1,0.20083333333333334,0
PNR10000083,28,0,72,0.18,0
PNR10000084,22,0,51,0.2425,0
PNR10000085,36,1,81,0.1075,0
PNR10000086,40,1,4,0.04333333333333333,0
PNR10000087,39,1,97,0.12083333333333332,0
PNR10000088,43,1,101,0.12416666666666666,0
PNR10000089,59,0,18,0.265,1
PNR10000090,27,0,2,0.12166666666666667,0
PNR10000091,73,1,29,0.20416666666666666,0
PNR10000092,32,0,29,0.14416666666666667,0
PNR10000093,67,0,22,0.2683333333333333,0
PNR10000094,41,0,11,0.11916666666666667,0
PNR10000095,24,0,2,0.2016666666666667,1
PNR10000096,68,0,24,0.27,0
PNR10000097,29,1,11,0.05916666666666667,0
PNR10000098,53,0,3,0.1125,0
PNR10000099,71,0,6,0.255,1
PNR10000100,38,1,46,0.07833333333333332,0
PNR10000101,24,0,49,0.24083333333333334,0
PNR10000102,36,1,43,0.07583333333333334,0
PNR10000103,23,0,2,0.2016666666666667,0
PNR10000104,19,1,3,0.1325,1
PNR10000105,49,1,7,0.04583333333333333,0
PNR10000106,40,0,116,0.20666666666666667,1
PNR10000107,41,0,9,0.1175,0
PNR10000108,33,1,81,0.11750000000000001,0
PNR10000109,52,1,32,0.06666666666666667,1
PNR10000110,47,0,1,0.11083333333333334,0
PNR10000111,21,0,20,0.21666666666666667,0
PNR10000112,28,0,54,0.165,0
PNR10000113,63,1,1,0.18083333333333332,0
PNR10000114,68,0,28,0.2733333333333333,0
PNR10000115,46,1,11,0.049166666666666664,0
PNR10000116,45,0,6,0.115,0
PNR10000117,23,0,22,0.21833333333333335,0
PNR10000118,26,1,47,0.08916666666666667,0
PNR10000119,39,0,45,0.1475,0
PNR10000120,74,0,5,0.25416666666666665,0
PNR10000121,63,1,12,0.19,0
PNR10000122,24,0,12,0.21000000000000002,0
PNR10000123,35,1,52,0.09333333333333332,0
PNR10000124,72,1,20,0.19666666666666666,0
PNR10000125,29,0,14,0.13166666666666668,0
PNR10000126,62,0,49,0.29083333333333333,0
PNR10000127,22,0,66,0.255,1
PNR10000128,69,1,11,0.18916666666666665,0
PNR10000129,38,1,126,0.145,0
PNR10000130,55,1,23,0.05916666666666666,1
PNR10000131,22,1,1,0.13083333333333333,0
PNR10000132,70,0,13,0.2608333333333333,0
PNR10000133,49,0,23,0.12916666666666665,1
PNR10000134,29,1,52,0.09333333333333332,0
PNR10000135,71,1,37,0.21083333333333332,0
PNR10000136,73,0,6,0.255,0
PNR10000137,46,1,16,0.05333333333333333,0
PNR10000138,48,1,3,0.042499999999999996,0
PNR10000139,51,1,62,0.09166666666666666,0
PNR10000140,62,0,1,0.25083333333333335,1
PNR10000141,27,0,9,0.1275,0
PNR10000142,37,1,43,0.07583333333333334,0
PNR10000143,46,0,1,0.11083333333333334,0
PNR10000144,31,1,38,0.08166666666666667,0
PNR10000145,18,1,31,0.15583333333333332,1
PNR10000146,63,0,17,0.26416666666666666,1
PNR10000147,22,1,4,0.13333333333333333,0
PNR10000148,40,0,11,0.11916666666666667,0
PNR10000149,38,1,6,0.04499999999999999,0
PNR10000150,22,0,1,0.20083333333333334,0
PNR10000151,48,1,13,0.05083333333333333,0
PNR10000152,55,0,69,0.1675,0
PNR10000153,42,0,19,0.12583333333333332,0
PNR10000154,41,0,27,0.1325,1
PNR10000155,27,0,85,0.19083333333333335,0
PNR10000156,25,1,17,0.14416666666666667,0
PNR10000157,69,1,26,0.20166666666666666,0
PNR10000158,28,1,2,0.051666666666666666,0
PNR10000159,20,1,4,0.13333333333333333,0
PNR10000160,50,1,26,0.06166666666666666,0
PNR10000161,41,0,1,0.11083333333333334,0
PNR10000162,70,0,1,0.25083333333333335,0
PNR10000163,48,0,3,0.1125,0
PNR10000164,28,0,7,0.12583333333333335,0
PNR10000165,33,0,3,0.12250000000000001,0
PNR10000166,19,0,8,0.20666666666666667,1
PNR10000167,18,0,40,0.23333333333333334,1
PNR10000168,69,1,16,0.19333333333333333,0
PNR10000169,38,1,32,0.06666666666666667,0
PNR10000170,45,0,43,0.14583333333333334,0
PNR10000171,21,1,11,0.13916666666666666,0
PNR10000172,32,0,67,0.17583333333333334,1
PNR10000173,37,1,59,0.08916666666666666,0
PNR10000174,32,0,15,0.1325,0
PNR10000175,52,0,52,0.15333333333333332,0
PNR10000176,39,0,12,0.12,0
PNR10000177,22,0,38,0.2316666666666667,1
PNR10000178,22,0,106,0.28833333333333333,1
PNR10000179,67,1,11,0.18916666666666665,0
PNR10000180,32,0,25,0.14083333333333334,0
PNR10000181,46,1,13,0.05083333333333333,0
PNR10000182,63,1,20,0.19666666666666666,0
PNR10000183,73,0,7,0.25583333333333336,0
PNR10000184,18,1,16,0.14333333333333334,0
PNR10000185,18,1,31,0.15583333333333332,1
PNR10000186,23,0,12,0.21000000000000002,1
PNR10000187,20,1,10,0.13833333333333334,0
PNR10000188,56,1,12,0.19,0
PNR10000189,61,1,11,0.18916666666666665,0
PNR10000190,23,1,5,0.13416666666666668,0
PNR10000191,53,1,71,0.09916666666666665,0
PNR10000192,51,1,93,0.1175,0
PNR10000193,28,0,9,0.1275,0
PNR10000194,51,0,28,0.13333333333333333,0
PNR10000195,64,1,11,0.18916666666666665,0
PNR10000196,33,1,26,0.07166666666666667,0
PNR10000197,34,0,10,0.12833333333333335,0
PNR10000198,64,1,1,0.18083333333333332,1
PNR10000199,50,1,4,0.04333333333333333,0
PNR10000200,24,0,22,0.21833333333333335,1
PNR10000201,52,1,8,0.04666666666666666,0
PNR10000202,34,1,19,0.06583333333333333,0
PNR10000203,26,1,72,0.11,0
PNR10000204,58,0,1,0.25083333333333335,0
PNR10000205,35,1,50,0.09166666666666667,0
PNR10000206,67,0,20,0.26666666666666666,0
PNR10000207,45,0,5,0.11416666666666667,0
PNR10000208,29,0,7,0.12583333333333335,0
PNR10000209,50,0,140,0.22666666666666668,0
PNR10000210,51,1,12,0.049999999999999996,0
PNR10000211,21,0,2,0.2016666666666667,0
PNR10000212,22,0,26,0.22166666666666668,0
PNR10000213,34,0,6,0.125,0
PNR10000214,27,0,68,0.17666666666666667,1
PNR10000215,23,1,13,0.14083333333333334,0
PNR10000216,38,1,28,0.06333333333333332,1
PNR10000217,23,1,57,0.1775,1
PNR10000218,24,0,124,0.30333333333333334,0
PNR10000219,38,0,95,0.18916666666666665,0
PNR10000220,25,1,3,0.1325,0
PNR10000221,29,1,12,0.060000000000000005,0
PNR10000222,74,0,30,0.275,0
PNR10000223,70,0,3,0.2525,1
PNR10000224,27,0,14,0.13166666666666668,0
PNR10000225,47,1,90,0.11499999999999999,0
PNR10000226,34,0,6,0.125,0
PNR10000227,21,1,20,0.14666666666666667,0
PNR10000228,21,0,1,0.20083333333333334,1
PNR10000229,19,1,30,0.155,1
PNR10000230,23,0,26,0.22166666666666668,0
PNR10000231,47,0,54,0.155,1
PNR10000232,63,0,61,0.30083333333333334,1
PNR10000233,34,0,7,0.12583333333333335,0
PNR10000234,35,1,58,0.09833333333333333,0
PNR10000235,25,0,117,0.2975,0
PNR10000236,24,1,64,0.18333333333333335,0
PNR10000237,55,1,59,0.08916666666666666,0
PNR10000238,22,1,25,0.15083333333333335,0
PNR10000239,66,1,31,0.2058333333333333,0
PNR10000240,49,1,46,0.07833333333333332,0
PNR10000241,48,0,5,0.11416666666666667,0
PNR10000242,53,1,113,0.13416666666666666,0
PNR10000243,20,0,10,0.20833333333333334,0
PNR10000244,73,1,21,0.19749999999999998,0
PNR10000245,48,0,23,0.12916666666666665,0
PNR10000246,28,1,54,0.095,0
PNR10000247,43,1,18,0.05499999999999999,0
PNR10000248,37,0,16,0.12333333333333334,0
PNR10000249,75,1,13,0.19083333333333333,0
PNR10000250,46,1,64,0.09333333333333332,0
PNR10000251,33,0,57,0.1675,0
PNR10000252,39,0,16,0.12333333333333334,0
PNR10000253,72,0,16,0.2633333333333333,1
PNR10000254,70,1,6,0.185,0
PNR10000255,44,0,20,0.12666666666666668,0
PNR10000256,72,0,12,0.26,0
PNR10000257,18,0,15,0.21250000000000002,1
PNR10000258,33,1,6,0.055,0
PNR10000259,59,1,28,0.20333333333333334,0
PNR10000260,43,1,17,0.05416666666666666,0
PNR10000261,72,1,71,0.23916666666666664,0
PNR10000262,65,1,16,0.19333333333333333,0
PNR10000263,28,0,46,0.15833333333333333,0
PNR10000264,24,0,27,0.2225,0
PNR10000265,75,0,68,0.30666666666666664,0
PNR10000266,67,0,58,0.29833333333333334,1
PNR10000267,54,0,59,0.15916666666666668,1
PNR10000268,61,1,114,0.27499999999999997,0
PNR10000269,38,1,3,0.042499999999999996,0
PNR10000270,68,0,9,0.2575,0
PNR10000271,32,0,1,0.12083333333333335,0
PNR10000272,43,0,49,0.15083333333333332,0
PNR10000273,23,0,35,0.22916666666666669,0
PNR10000274,51,0,80,0.17666666666666667,0
PNR10000275,52,0,36,0.14,0
PNR10000276,47,0,1,0.11083333333333334,0
PNR10000277,64,0,7,0.25583333333333336,0
PNR10000278,18,1,2,0.13166666666666668,0
PNR10000279,48,0,1,0.11083333333333334,0
PNR10000280,40,0,9,0.1175,0
PNR10000281,18,0,25,0.22083333333333335,0
PNR10000282,31,0,61,0.17083333333333334,0
PNR10000283,30,1,32,0.07666666666666667,1
PNR10000284,63,0,6,0.255,0
PNR10000285,51,0,19,0.12583333333333332,0
PNR10000286,32,1,7,0.05583333333333334,0
PNR10000287,74,0,27,0.2725,0
PNR10000288,24,0,27,0.2225,0
PNR10000289,41,1,13,0.05083333333333333,0
PNR10000290,55,1,5,0.04416666666666666,0
PNR10000291,42,0,37,0.14083333333333334,0
PNR10000292,41,0,10,0.11833333333333333,0
PNR10000293,19,0,79,0.26583333333333337,1
PNR10000294,19,0,15,0.21250000000000002,0
PNR10000295,22,0,1,0.20083333333333334,0
PNR10000296,20,1,23,0.14916666666666667,1
PNR10000297,65,0,21,0.2675,0
PNR10000298,39,0,13,0.12083333333333333,0
PNR10000299,18,1,4,0.13333333333333333,0
PNR10000300,20,0,34,0.22833333333333333,0
PNR10000301,19,1,10,0.13833333333333334,0
PNR10000302,21,1,1,0.13083333333333333,0
PNR10000303,29,0,73,0.18083333333333335,1
PNR10000304,49,1,5,0.04416666666666666,0
PNR10000305,24,1,4,0.13333333333333333,0
PNR10000306,38,1,4,0.04333333333333333,0
PNR10000307,73,0,8,0.25666666666666665,1
PNR10000308,20,1,7,0.13583333333333333,0
PNR10000309,70,1,4,0.18333333333333332,0
PNR10000310,19,0,43,0.23583333333333334,0
PNR10000311,30,1,38,0.08166666666666667,0
PNR10000312,43,1,1,0.040833333333333326,0
PNR10000313,50,1,3,0.042499999999999996,0
PNR10000314,20,1,47,0.1691666666666667,0
PNR10000315,53,1,22,0.05833333333333333,0
PNR10000316,46,0,7,0.11583333333333333,0
PNR10000317,21,0,46,0.23833333333333334,0
PNR10000318,41,0,40,0.14333333333333334,0
PNR10000319,29,1,38,0.08166666666666667,1
PNR10000320,20,1,2,0.13166666666666668,1
PNR10000321,29,0,42,0.155,0
PNR10000322,24,0,15,0.21250000000000002,0
PNR10000323,49,1,7,0.04583333333333333,0
PNR10000324,45,0,18,0.125,0
PNR10000325,22,1,10,0.13833333333333334,0
PNR10000326,50,0,61,0.16083333333333333,0
PNR10000327,27,1,21,0.0675,0
PNR10000328,29,0,35,0.14916666666666667,0
PNR10000329,47,0,2,0.11166666666666666,0
PNR10000330,35,0,11,0.12916666666666668,0
PNR10000331,41,1,34,0.06833333333333333,0
PNR10000332,19,0,9,0.20750000000000002,0
PNR10000333,27,0,25,0.14083333333333334,0
PNR10000334,20,0,9,0.20750000000000002,0
PNR10000335,24,1,8,0.13666666666666666,0
PNR10000336,22,0,7,0.20583333333333334,0
PNR10000337,35,0,7,0.12583333333333335,0
PNR10000338,21,0,41,0.2341666666666667,0
PNR10000339,72,1,1,0.18083333333333332,0
PNR10000340,61,1,8,0.18666666666666665,0
PNR10000341,23,1,72,0.19,1
PNR10000342,67,1,11,0.18916666666666665,1
PNR10000343,41,1,14,0.05166666666666666,0
PNR10000344,40,0,46,0.14833333333333332,0
PNR10000345,30,1,36,0.08,0
PNR10000346,41,0,1,0.11083333333333334,0
PNR10000347,22,0,3,0.2025,0
PNR10000348,31,0,16,0.13333333333333333,0
PNR10000349,21,1,20,0.14666666666666667,0
PNR10000350,37,1,5,0.04416666666666666,0
PNR10000351,27,0,8,0.12666666666666668,0
PNR10000352,25,1,45,0.1675,1
PNR10000353,33,0,14,0.13166666666666668,0
PNR10000354,32,1,47,0.08916666666666667,1
PNR10000355,47,1,41,0.07416666666666666,0
PNR10000356,44,1,14,0.05166666666666666,0
PNR10000357,34,1,54,0.095,0
PNR10000358,74,1,28,0.20333333333333334,0
PNR10000359,23,0,1,0.20083333333333334,0
PNR10000360,59,1,6,0.185,0
PNR10000361,23,0,6,0.20500000000000002,0
PNR10000362,52,0,1,0.11083333333333334,0
PNR10000363,24,0,35,0.22916666666666669,0
PNR10000364,27,1,38,0.08166666666666667,0
PNR10000365,24,0,50,0.24166666666666667,1
PNR10000366,46,0,19,0.12583333333333332,0
PNR10000367,34,0,12,0.13,0
PNR10000368,33,0,33,0.14750000000000002,0
PNR10000369,29,1,41,0.08416666666666667,1
PNR10000370,42,0,45,0.1475,0
PNR10000371,46,1,22,0.05833333333333333,0
PNR10000372,34,0,9,0.1275,0
PNR10000373,31,0,2,0.12166666666666667,0
PNR10000374,68,1,20,0.19666666666666666,0
PNR10000375,25,0,11,0.20916666666666667,0
PNR10000376,42,1,79,0.10583333333333332,1
PNR10000377,24,0,120,0.3,0
PNR10000378,46,1,1,0.040833333333333326,0
PNR10000379,71,0,76,0.31333333333333335,1
PNR10000380,20,0,20,0.21666666666666667,0
PNR10000381,33,1,36,0.08,0
PNR10000382,22,0,5,0.2041666666666667,1
PNR10000383,53,0,61,0.16083333333333333,1
PNR10000384,33,0,4,0.12333333333333334,0
PNR10000385,24,0,40,0.23333333333333334,0
PNR10000386,21,0,41,0.2341666666666667,0
PNR10000387,39,1,1,0.040833333333333326,0
PNR10000388,33,0,26,0.14166666666666666,0
PNR10000389,48,0,30,0.135,0
PNR10000390,46,0,43,0.14583333333333334,0
PNR10000391,29,0,32,0.14666666666666667,0
PNR10000392,24,0,1,0.20083333333333334,0
PNR10000393,44,0,19,0.12583333333333332,0
PNR10000394,54,0,51,0.1525,0
PNR10000395,22,1,27,0.1525,0
PNR10000396,48,0,4,0.11333333333333333,0
PNR10000397,24,0,5,0.2041666666666667,0
PNR10000398,67,0,11,0.25916666666666666,0
PNR10000399,54,0,21,0.1275,0
PNR10000400,39,0,11,0.11916666666666667,0
PNR10000401,48,1,6,0.04499999999999999,0
PNR10000402,33,1,28,0.07333333333333333,0
PNR10000403,74,1,51,0.22249999999999998,0
PNR10000404,38,0,28,0.13333333333333333,0
PNR10000405,72,0,4,0.25333333333333335,0
PNR10000406,24,1,1,0.13083333333333333,1
PNR10000407,66,1,26,0.20166666666666666,0
PNR10000408,44,1,115,0.1358333333333333,1
PNR10000409,20,0,6,0.20500000000000002,0
PNR10000410,56,1,28,0.20333333333333334,0
PNR10000411,30,0,19,0.13583333333333333,1
PNR10000412,53,1,53,0.08416666666666667,0
PNR10000413,29,0,1,0.12083333333333335,0
PNR10000414,45,0,17,0.12416666666666666,0
PNR10000415,30,1,10,0.058333333333333334,0
PNR10000416,19,0,8,0.20666666666666667,1
PNR10000417,44,1,40,0.07333333333333333,0
PNR10000418,63,0,6,0.255,0
PNR10000419,48,0,13,0.12083333333333333,0
PNR10000420,23,0,66,0.255,0
PNR10000421,25,0,44,0.2366666666666667,0
PNR10000422,21,1,33,0.1575,0
PNR10000423,25,0,13,0.21083333333333334,0
PNR10000424,47,0,32,0.13666666666666666,0
PNR10000425,23,1,5,0.13416666666666668,0
PNR10000426,34,0,29,0.14416666666666667,0
PNR10000427,28,0,7,0.12583333333333335,0
PNR10000428,21,1,5,0.13416666666666668,0
PNR10000429,37,0,39,0.14250000000000002,1
PNR10000430,45,1,50,0.08166666666666667,0
PNR10000431,44,0,55,0.15583333333333332,0
PNR10000432,31,1,2,0.051666666666666666,0
PNR10000433,19,1,4,0.13333333333333333,0
PNR10000434,74,1,69,0.2375,0
PNR10000435,28,0,14,0.13166666666666668,0
PNR10000436,44,1,38,0.07166666666666666,0
PNR10000437,19,1,12,0.14,0
PNR10000438,49,0,7,0.11583333333333333,1
PNR10000439,20,0,88,0.2733333333333333,0
PNR10000440,32,0,7,0.12583333333333335,1
PNR10000441,19,0,29,0.22416666666666668,1
PNR10000442,39,0,12,0.12,0
PNR10000443,41,1,78,0.105,0
PNR10000444,20,0,50,0.24166666666666667,0
PNR10000445,52,0,9,0.1175,0
PNR10000446,64,1,15,0.1925,1
PNR10000447,40,0,23,0.12916666666666665,0
PNR10000448,34,1,1,0.050833333333333335,0
PNR10000449,19,1,11,0.13916666666666666,1
PNR10000450,26,1,32,0.07666666666666667,0
PNR10000451,22,0,2,0.2016666666666667,0
PNR10000452,34,1,10,0.058333333333333334,0
PNR10000453,62,0,32,0.27666666666666667,0
PNR10000454,29,0,8,0.12666666666666668,0
PNR10000455,41,0,7,0.11583333333333333,0
PNR10000456,44,0,6,0.115,0
PNR10000457,44,0,48,0.15,0
PNR10000458,35,1,43,0.08583333333333334,0
PNR10000459,39,0,38,0.14166666666666666,0
PNR10000460,65,0,51,0.2925,0
PNR10000461,71,1,4,0.18333333333333332,0
PNR10000462,26,0,33,0.14750000000000002,1
PNR10000463,31,1,20,0.06666666666666667,0
PNR10000464,41,1,11,0.049166666666666664,0
PNR10000465,24,0,14,0.21166666666666667,0
PNR10000466,66,0,21,0.2675,1
PNR10000467,20,0,15,0.21250000000000002,0
PNR10000468,24,0,4,0.20333333333333334,0
PNR10000469,22,0,25,0.22083333333333335,0
PNR10000470,31,0,1,0.12083333333333335,1
PNR10000471,52,1,8,0.04666666666666666,0
PNR10000472,26,0,43,0.15583333333333335,0
PNR10000473,24,0,10,0.20833333333333334,0
PNR10000474,67,1,83,0.24916666666666665,0
PNR10000475,49,0,54,0.155,0
PNR10000476,24,0,14,0.21166666666666667,1
PNR10000477,29,0,68,0.17666666666666667,0
PNR10000478,37,0,5,0.11416666666666667,0
PNR10000479,23,1,6,0.135,0
PNR10000480,22,0,54,0.245,0
PNR10000481,30,0,52,0.16333333333333333,0
PNR10000482,29,1,41,0.08416666666666667,0
PNR10000483,42,0,46,0.14833333333333332,0
PNR10000484,45,1,24,0.06,0
PNR10000485,54,1,2,0.04166666666666666,0
PNR10000486,40,1,67,0.09583333333333333,0
PNR10000487,20,1,4,0.13333333333333333,0
PNR10000488,37,1,5,0.04416666666666666,0
PNR10000489,47,0,47,0.14916666666666667,0
PNR10000490,33,1,1,0.050833333333333335,0
PNR10000491,19,0,20,0.21666666666666667,0
PNR10000492,45,1,9,0.047499999999999994,0
PNR10000493,44,0,12,0.12,0
PNR10000494,33,1,14,0.06166666666666667,0
PNR10000495,49,0,5,0.11416666666666667,0
PNR10000496,31,1,49,0.09083333333333332,0
PNR10000497,27,0,10,0.12833333333333335,0
PNR10000498,59,1,15,0.1925,0
PNR10000499,64,1,2,0.18166666666666667,0
PNR10000500,22,1,3,0.1325,0
PNR10000501,70,0,27,0.2725,0
PNR10000502,69,0,16,0.2633333333333333,0
PNR10000503,52,0,20,0.12666666666666668,0
PNR10000504,30,0,27,0.14250000000000002,0
PNR10000505,35,0,57,0.1675,0
PNR10000506,57,0,8,0.25666666666666665,1
PNR10000507,54,1,1,0.040833333333333326,0
PNR10000508,22,0,20,0.21666666666666667,0
PNR10000509,57,0,25,0.2708333333333333,0
PNR10000510,42,1,1,0.040833333333333326,0
PNR10000511,74,0,4,0.25333333333333335,0
PNR10000512,65,0,62,0.30166666666666664,0
PNR10000513,72,0,1,0.25083333333333335,1
PNR10000514,33,1,47,0.08916666666666667,1
PNR10000515,22,1,36,0.16,1
PNR10000516,27,1,92,0.12666666666666665,0
PNR10000517,23,1,7,0.13583333333333333,0
PNR10000518,33,0,7,0.12583333333333335,0
PNR10000519,20,0,22,0.21833333333333335,0
PNR10000520,51,1,19,0.055833333333333325,0
PNR10000521,32,1,32,0.07666666666666667,0
PNR10000522,68,1,34,0.20833333333333331,0
PNR10000523,26,0,1,0.12083333333333335,0
PNR10000524,56,0,27,0.2725,0
PNR10000525,66,0,34,0.2783333333333333,1
PNR10000526,71,0,15,0.2625,0
PNR10000527,63,0,66,0.305,0
PNR10000528,44,0,18,0.125,0
PNR10000529,48,1,44,0.07666666666666666,0
PNR10000530,75,1,3,0.1825,1
PNR10000531,44,1,85,0.11083333333333333,0
PNR10000532,33,0,19,0.13583333333333333,0
PNR10000533,27,0,6,0.125,0
PNR10000534,29,1,3,0.052500000000000005,0
PNR10000535,28,0,20,0.1366666666666667,0
PNR10000536,18,0,6,0.20500000000000002,0
PNR10000537,64,0,8,0.25666666666666665,0
PNR10000538,32,1,1,0.050833333333333335,0
PNR10000539,35,1,77,0.11416666666666667,1
PNR10000540,38,1,15,0.05249999999999999,0
PNR10000541,34,0,48,0.16,0
PNR10000542,65,0,48,0.29,1
PNR10000543,39,1,42,0.07499999999999998,0
PNR10000544,60,1,49,0.22083333333333333,0
PNR10000545,68,1,1,0.18083333333333332,0
PNR10000546,46,1,37,0.07083333333333333,0
PNR10000547,28,1,47,0.08916666666666667,0
PNR10000548,28,0,14,0.13166666666666668,0
PNR10000549,43,0,21,0.1275,0
PNR10000550,25,0,51,0.2425,1
PNR10000551,74,1,77,0.24416666666666664,0
PNR10000552,59,0,16,0.2633333333333333,0
PNR10000553,33,0,12,0.13,0
PNR10000554,39,1,6,0.04499999999999999,0
PNR10000555,60,1,7,0.18583333333333332,0
PNR10000556,31,0,11,0.12916666666666668,0
PNR10000557,47,1,1,0.040833333333333326,0
PNR10000558,24,1,53,0.17416666666666666,0
PNR10000559,27,0,60,0.17,0
PNR10000560,74,0,3,0.2525,0
PNR10000561,71,0,52,0.29333333333333333,0
PNR10000562,46,1,28,0.06333333333333332,1
PNR10000563,21,0,10,0.20833333333333334,0
PNR10000564,28,1,5,0.05416666666666667,0
PNR10000565,45,0,57,0.1575,0
PNR10000566,20,1,57,0.1775,0
PNR10000567,37,1,21,0.057499999999999996,0
PNR10000568,65,1,91,0.2558333333333333,0
PNR10000569,47,0,26,0.13166666666666665,0
PNR10000570,63,1,19,0.19583333333333333,0
PNR10000571,47,0,6,0.115,0
PNR10000572,34,1,5,0.05416666666666667,0
PNR10000573,49,0,7,0.11583333333333333,1
PNR10000574,72,1,71,0.23916666666666664,0
PNR10000575,52,0,8,0.11666666666666667,0
PNR10000576,49,0,71,0.16916666666666666,0
PNR10000577,50,0,42,0.145,0
PNR10000578,24,0,21,0.2175,0
PNR10000579,57,0,14,0.26166666666666666,0
PNR10000580,58,1,6,0.185,0
PNR10000581,33,0,31,0.14583333333333334,0
PNR10000582,24,0,108,0.29000000000000004,0
PNR10000583,66,0,65,0.30416666666666664,0
PNR10000584,20,0,10,0.20833333333333334,0
PNR10000585,55,1,125,0.14416666666666667,0
PNR10000586,41,0,48,0.15,1
PNR10000587,46,0,33,0.1375,0
PNR10000588,38,0,3,0.1125,0
PNR10000589,46,0,46,0.14833333333333332,0
PNR10000590,62,0,3,0.2525,0
PNR10000591,54,0,20,0.12666666666666668,0
PNR10000592,25,0,45,0.23750000000000002,1
PNR10000593,37,0,4,0.11333333333333333,1
PNR10000594,32,1,68,0.10666666666666666,0
PNR10000595,22,1,73,0.19083333333333333,1
PNR10000596,32,1,29,0.07416666666666667,0
PNR10000597,24,1,38,0.16166666666666668,0
PNR10000598,74,0,16,0.2633333333333333,0
PNR10000599,38,0,13,0.12083333333333333,0
PNR10000600,36,0,45,0.1475,0
PNR10000601,20,0,5,0.2041666666666667,0
PNR10000602,51,0,24,0.13,0
PNR10000603,44,1,20,0.05666666666666666,0
PNR10000604,35,1,40,0.08333333333333334,0
